,Title,Developer(s),Publisher(s),Regions released,Regions released,Regions released,Ref.
1432,Hoshigami: Ruining Blue Earth,Max Five,"Atlus Co., Max Five","February 7, 2002",Unreleased,"December 19, 2001",
1433,Hot Shot,Phoenix Games,Phoenix Games,Unreleased,"June 27, 2003",Unreleased,
1434,Hot Wheels Extreme Racing,Atod AB,THQ,Unreleased,"October 12, 2001","September 15, 2001",
1435,Hot Wheels Turbo Racing,Stormfront Studios,Electronic Arts,Unreleased,1999,"September 7, 1999",
1436,Houma Hunter Lime: Special Collection Vol. 1,Copya Systems,Asmik Ace,"December 22, 1994",Unreleased,Unreleased,
1437,Houma Hunter Lime: Special Collection Vol. 2,Copya Systems,Asmik Ace,"September 15, 1995",Unreleased,Unreleased,
1438,Houma Hunter Lime with Paint Maker,Copya Systems,Asmik Ace,"February 21, 1997",Unreleased,Unreleased,
1439,Houshinengi,Koei,Koei,"September 10, 1998",Unreleased,Unreleased,
1440,Houshinengi Aizouban,Koei,Koei,"April 1, 1999",Unreleased,Unreleased,
1441,Hugo,ITE Media,ITE Media,Unreleased,2000,Unreleased,
1442,Hugo 2,ITE Media,ITE Media,Unreleased,April 2000,Unreleased,
1443,Hugo: Black Diamond Fever,ITE Media,ITE Media,Unreleased,2001,Unreleased,
1444,Hugo: The Evil Mirror,ITE Media,ITE Media,Unreleased,December 1998,"December 15, 2003",
1445,Hugo: Frog Fighter,ITE Media,ITE Media,Unreleased,"February 15, 2002",Unreleased,
1446,Hugo: The Quest for the Sunstones,ITE Media,ITE Media,Unreleased,"November 3, 2000",Unreleased,
1447,Hunchback of Notredame,The Code Monkeys,Midas Interactive,Unreleased,"April 12, 2002",Unreleased,
1448,Hunter X Hunter: Maboroshi no Greed Island,Konami,Konami,"October 26, 2000",Unreleased,Unreleased,
1449,Hunter X Hunter: Ubawareta Aura Stone,Konami,Konami,"September 27, 2001",Unreleased,Unreleased,
1450,Hyakujuu Sentai GaoRanger,Bandai,Bandai,"November 29, 2001",Unreleased,Unreleased,
1451,Hybrid,Vulcan Software,Midas Interactive Entertainment,Unreleased,"April 12, 2002",Unreleased,[69]
1452,Hydro Thunder,Blue Shift,Midway Games,Unreleased,2000,"February 29, 2000",
1453,Hyouryuu Ki: The Reportage Beyond the Sea,KSS,KSS,"October 28, 1999",Unreleased,Unreleased,
1454,Hyper 3-D Pinball•Tilt!PAL,NMS Software,Virgin Interactive,"February 28, 1997",January 1997,Unreleased,
1455,Hyper Crazy Climber,Nihon Bussan,Nihon Bussan,"February 23, 1996",Unreleased,Unreleased,
1456,Hyper Final Match TennisJP•Hyper Tennis: Final MatchPAL,Human Entertainment,Human Entertainment,"March 22, 1996","November 15, 1996",Unreleased,
1457,Hyper Formation Soccer,Human Entertainment,Human Entertainment,"October 13, 1995",Unreleased,Unreleased,
1458,Hyper Pachinko,Konami,Konami,"July 27, 2000",Unreleased,Unreleased,
1459,Hyper Securities 2,Pack-In-Video,Victor Interactive Software,"June 25, 1998",Unreleased,Unreleased,
1460,Hyper Rally,Harvest One,Harvest One,"August 30, 1996",Unreleased,Unreleased,
1461,I.Q. Final•Kurushi Final: Mental BlocksPAL,SCEI,"SCEIJP, SCEEPAL","December 23, 1998",August 1999,Unreleased,
1462,I'Max Shogi II,I'Max,I'Max,"October 9, 1997",Unreleased,Unreleased,
1463,Ibarado: Rapture no Kaeru Machi,TV Asahi,System Sacom,"October 16, 1997",Unreleased,Unreleased,
1464,Ichigeki: Hagane no Hito,Opus,Bandai,"November 2, 1999",Unreleased,Unreleased,
1465,Ide Yosuke Meijin no Shinmi Sen Mahjong,Capcom,Capcom,"June 28, 1996",Unreleased,Unreleased,
1466,Ide Yosuke no Mahjong Kazoku,Opus,SETA Corporation,"November 3, 1995",Unreleased,Unreleased,
1467,Ide Yosuke no Mahjong Kyoshitsu,Athena,Athena,"December 2, 1999",Unreleased,Unreleased,
1468,Idol Janshi Suchie-Pai Limited,Jaleco,Jaleco,"March 24, 1995",Unreleased,Unreleased,
1469,Idol Janshi Suchie-Pai II Limited,Jaleco,Jaleco,"October 20, 1996",Unreleased,Unreleased,
1470,Idol Promotion: Yumie Suzuki,Allumer,Allumer,"May 31, 1996",Unreleased,Unreleased,
1471,Igo o Nintarou!,DigiCube,DigiCube,"March 28, 2002",Unreleased,Unreleased,
1472,IHRA Drag Racing,Digital Dialect,Bethesda Softworks,Unreleased,Unreleased,"September 20, 2001",
1473,IK+,Ignition Entertainment,Ignition Entertainment,Unreleased,2003,Unreleased,
1474,Ikasama Mahjong,Idea Factory,Idea Factory,"May 2, 2000",Unreleased,Unreleased,
1475,Ikkyuu-san: The Quiz,Bandai,Bandai,"March 28, 2002",Unreleased,Unreleased,
1476,Image Fight and X-Multiply,Irem,Xing Entertainment,"March 19, 1998",Unreleased,Unreleased,
1477,Imadoki no Vampire: Bloody Bride,Jorudan,Atlus,"December 27, 1996",Unreleased,Unreleased,
1478,Impact Racing,Funcom Dublin,JVC Musical Industries,Unreleased,July 1996,"September 15, 1996",
1479,In Cold Blood,Revolution Software,"Dreamcatcher InteractiveNA, SCEEPAL",Unreleased,"July 14, 2000","July 15, 2001",
1480,In the Hunt,Funcom Dublin,THQ,"November 10, 1995",October 1996,"March 15, 1996",
1481,Inagawa Junji: Kyoufu no Yashiki,Billiken Soft,Visit,"July 1, 1999",Unreleased,Unreleased,
1482,Inagawa Junji: Mayonaka no Taxi,Kaku,Visit,"July 13, 2000",Unreleased,Unreleased,
1483,Incredible Crisis,Polygon Magic,"Titus InteractiveNA,PAL, Tokuma Shoten Publishing Co., LtdJP","June 24, 1999","November 24, 2000","November 6, 2000",
1484,The Incredible Hulk: The Pantheon Saga,Attention to Detail,Eidos Interactive,Unreleased,December 1996,"February 28, 1997",
1485,Independence Day,Radical Entertainment,Fox Interactive,Unreleased,July 1997,"March 15, 1997",
1486,Indy 500,Tomy,"TomyJP, JVC Music EuropePAL","May 27, 1997",April 1998,Unreleased,
1487,Infestation,Frontier Developments,Ubisoft,Unreleased,"September 1, 2000",Unreleased,
1488,Infinity,KID,KID,"March 23, 2000",Unreleased,Unreleased,
1489,Initial D,Kodansha,Kodansha,"January 7, 1999",Unreleased,Unreleased,
1490,Inspector Gadget: Gadget's Crazy Maze,"Light & Shadow Productions, Vision Media Engineering",Ubisoft,Unreleased,"June 8, 2001","August 9, 2001",
1491,I.Q.: Intelligent Qube•KurushiPAL,SCEI,"SCEEPAL, SCEIJP, SCEANA","January 31, 1997",October 1997,"September 30, 1997",
1492,Intellivision Classic Games,Gray Matter,Activision,Unreleased,Unreleased,"September 15, 1999",
1493,International Cricket Captain 2000,Empire Interactive,Empire Interactive,Unreleased,"November 3, 2000",Unreleased,
1494,International Cricket Captain 2001 Ashes Edition,Empire Interactive,Empire Interactive,Unreleased,"August 24, 2001",Unreleased,
1495,International Cricket Captain 2002,Empire Interactive,Empire Interactive,Unreleased,"May 24, 2002",Unreleased,
1496,International Moto X,Graftgold,"Time Warner InteractivePAL, Coconuts JapanJP","September 27, 1996",December 1996,Unreleased,
1497,International Soccer Excite Stage 2000,Art,Epoch,"August 24, 2000",Unreleased,Unreleased,
1498,International Superstar Soccer,Konami,Konami,Unreleased,"December 8, 2000",Unreleased,
1499,International Superstar Soccer Deluxe,Konami,Konami,Unreleased,February 1997,Unreleased,
1500,International Superstar Soccer Pro 98,Konami,Konami,Unreleased,June 1997,"May 2, 1997",
1501,International Track & Field,Konami,Konami,"May 31, 1996",June 1996,"June 15, 1996",
1502,International Track & Field 2000•International Track & Field 2PAL•Ganbare Nippon! Olympics 2000JP,Konami,Konami,"July 13, 2000",2000,"December 10, 1999",
1503,Interplay Sports Baseball 2000•Baseball 2000PAL,Interplay,Interplay,Unreleased,November 1999,"April 14, 1999",
1504,Inu no Kaikata,Billiken Soft,D3Publisher,"April 18, 2002",Unreleased,Unreleased,
1505,Inuyasha,Bandai,Bandai,"December 27, 2001",Unreleased,Unreleased,
1506,Inuyasha: A Feudal Fairy Tale•Inuyasha: Sengoku Otogi KassenJP,Dimps Corporation,Bandai,"December 5, 2002",Unreleased,"April 8, 2003",
1507,Invasion,Microids,Microids,Unreleased,February 1999,Unreleased,
1508,Invasion from Beyond (B-Movie),King of the Jungle,GT Interactive,Unreleased,November 1998,"November 30, 1998",
1509,Ippatsu Gyakuten: Legend of the Gamble King,Island Creation,Island Creation,"January 10, 1997",Unreleased,Unreleased,
1510,Irem Arcade Classics,Irem,I'Max,"April 26, 1996",Unreleased,Unreleased,
1511,Iron and Blood,Take-Two Interactive,Acclaim,Unreleased,November 1996,"October 31, 1996",
1512,Iron Man and X-O Manowar in Heavy Metal,Realtime Associates,Acclaim,"January 31, 1997",November 1996,"October 30, 1996",
1513,Iron Soldier 3,Eclipse Software Design,"Vatical Entertainment, Telegames",Unreleased,Unreleased,"June 14, 2000",
1514,Irritating Stick,Jaleco Entertainment,Jaleco Entertainment,"March 19, 1998",Unreleased,"January 31, 1999",
1515,...Iru!,Soft Machine,Takara,"March 26, 1998",Unreleased,Unreleased,
1516,iS – internal section,positron,Square,"January 28, 1999",Unreleased,Unreleased,
1517,Ishin no Arashi,Koei,Koei,"December 11, 1997",Unreleased,Unreleased,
1518,Ishin no Arashi: Bakumatsu Shishiden,Koei,Koei,"February 4, 1999",Unreleased,Unreleased,
1519,ISS Pro Evolution•World Soccer Jikkyou Winning Eleven 4JP,Konami,Konami,"September 2, 1999","May 11, 1999","February 15, 2000",
1520,ISS Pro Evolution 2•World Soccer Jikkyou Winning Eleven 2000: U-23 Medal Heno ChousenJP,Konami Computer Entertainment Tokyo,Konami,"August 24, 2000","March 23, 2001",Unreleased,
1521,Itadaki Street: Gorgeous King,Tomcat System,Enix,"September 23, 1998",Unreleased,Unreleased,
1522,The Italian Job,Pixelogic,"SCiPAL, Rockstar GamesNA",Unreleased,"October 5, 2001","May 3, 2002",
1523,"Itsuka, Kasanariau Ashita e: Sayuri-hen",MBA International,Sony Music Entertainment Incorporated,"August 26, 1999",Unreleased,Unreleased,
1524,"Itsuka, Kasanariau Ashita e: Shirou-hen",MBA International,Sony Music Entertainment Incorporated,"August 26, 1999",Unreleased,Unreleased,
1525,Iwatobi Penguin Rocky & Hopper,F2 Company,Nippon Rental,"April 25, 1997",Unreleased,Unreleased,
1526,Iwatobi Penguin Rocky & Hopper 2 – Tantei Monogatari,Culture Publishers,Culture Publishers,"February 26, 1998",Unreleased,Unreleased,
1527,J's Racin',TYO,Digital Frontier,"September 25, 1997",Unreleased,Unreleased,
1528,J.B. Harold: Blue Chicago Blues,Riverhillsoft,Riverhillsoft,"November 22, 1995",Unreleased,Unreleased,
1529,J.League Jikkyou Winning Eleven,KCE Sapporo,Konami,"July 21, 1995",Unreleased,Unreleased,
1530,J.League Jikkyou Winning Eleven 2000,Konami,Konami,"June 29, 2000",Unreleased,Unreleased,
1531,J.League Jikkyou Winning Eleven 2000 2nd,Konami,Konami,"November 30, 2000",Unreleased,Unreleased,
1532,J.League Jikkyou Winning Eleven 2001,Konami,Konami,"June 21, 2001",Unreleased,Unreleased,
1533,J.League Jikkyou Winning Eleven 3,Konami,Konami,"December 11, 1997",Unreleased,Unreleased,
1534,J.League Jikkyō Winning Eleven '97,Konami,Konami,"November 22, 1996",Unreleased,Unreleased,
1535,J.League Soccer: Jikkyou Survival League,Tecmo,Tecmo,"December 22, 1999",Unreleased,Unreleased,
1536,J.League Virtual Stadium '96,EA Sports,Electronic Arts,"April 26, 1996",Unreleased,Unreleased,
1537,J.League Winning Eleven '98-'99,KCE Sapporo,Konami,"December 3, 1998",Unreleased,Unreleased,
1538,Jackie Chan Stuntmaster,Radical Entertainment,"SCEANA, SCEEPAL",Unreleased,2000,"March 29, 2000",
1539,Jade Cocoon: Story of the Tamamayu,Genki,"GenkiJP, Crave EntertainmentNA, UbisoftPAL","December 3, 1998","December 10, 1999","November 30, 1998",
1540,JailBreaker,Highwaystar,NEC Interchannel,"June 3, 1999",Unreleased,Unreleased,
1541,Jaja Uma Quartet: Mega Dream Destruction,Studio OX,GMF,"September 10, 1998",Unreleased,Unreleased,
1542,Jaleco Collection Vol. 1,Pacific Century Cyber Works,Pacific Century Cyber Works,"October 23, 2003",Unreleased,Unreleased,
1543,James Pond 2: Codename: Robocod,Vectordean,Play It Ltd,Unreleased,November 2003,Unreleased,
1544,Jang Jang Koi Shimashow: Lovely Pop 2 in 1,Visco,Visco,"February 26, 1998",Unreleased,Unreleased,
1545,Jang Jang Koi Shimashow: Separate 1 - Jang Jang Shimashow,Visco,Visco,"April 27, 2000",Unreleased,Unreleased,
1546,Jang Jang Koi Shimashow: Separate 2 - Koi Koi Shimashow,Visco,Visco,"April 27, 2000",Unreleased,Unreleased,
1547,Jarin-ko Chie: The Hanafuda,Yuki,Bandai,"November 29, 2001",Unreleased,Unreleased,
1548,Jeff Wayne's The War of the Worlds,Pixelogic,GT Interactive,Unreleased,"November 19, 1999",Unreleased,
1549,Jellyfish: The Healing Friend,Visit,Visit,"September 28, 2000",Unreleased,Unreleased,
1550,Jeopardy!,Artech Studios,Hasbro Interactive,Unreleased,Unreleased,"December 9, 1998",
1551,Jeopardy! 2,Artech Studios,Hasbro Interactive,Unreleased,Unreleased,"September 28, 2000",
1552,Jeremy McGrath Supercross '98,Probe Entertainment,Acclaim,Unreleased,Unreleased,"May 31, 1998",
1553,Jeremy McGrath Supercross 2000,Acclaim Entertainment,Acclaim Entertainment,Unreleased,"August 25, 2000FR,PAL","July 14, 2000",
1554,Jersey Devil,Behaviour Interactive,"SCEANA, Ocean SoftwarePAL, KonamiJP","June 24, 1999","December 12, 1997","May 31, 1998",
1555,Jet Ace,Phoenix Games,Phoenix Games,Unreleased,"November 15, 2004",Unreleased,
1556,Jet de Go! Let's Go By Airliner,Racdym,Taito,"February 1, 2000",Unreleased,Unreleased,
1557,Jet Moto,"SingleTrac, Locomotive Games","SCEANA, SCEEPAL, SCEIJP","August 7, 1997",February 1997,"October 31, 1996",
1558,Jet Moto 2,SingleTrac,SCEANA,Unreleased,April 1998,"October 31, 1997",
1559,Jet Moto 3,SingleTrac,SCEANA,Unreleased,Unreleased,"August 31, 1999",
1560,Jetracer,Thayer GFX,Midas Interactive,Unreleased,"April 12, 2001",Unreleased,
1561,JGTC: All-Japan Grand Touring Car Championship,TYO,TYO,"June 18, 1998",Unreleased,Unreleased,
1562,Jigoku Sensei NuBe,TOSE,Bandai,"May 16, 1997",Unreleased,Unreleased,
1563,Jigsaw Madness•Jigsaw Island: Japan GraffitiJP,Nippon Ichi Software,XS Games,"September 13, 1996","June 27, 2003","December 1, 2002",
1564,Jigsaw World,Nippon Ichi Software,Nippon Ichi Software,"February 3, 1995",Unreleased,Unreleased,
1565,Jikki Pachi-Slot Tettei Kouryaku: Speed-CR Kinkakuji 3,Culture Publishers,Culture Publishers,"August 20, 1998",Unreleased,Unreleased,
1566,Jikki Pachi-Slot Tettei Kouryaku: Yamasa Collection,Culture Publishers,Culture Publishers,"March 26, 1998",Unreleased,Unreleased,
1567,Jikkyou Golf Master 2000,Konami,Konami,"March 30, 2000",Unreleased,Unreleased,
1568,Jikkyou J.League 1999 Perfect Striker,Konami,Konami,"December 2, 1999",Unreleased,Unreleased,
1569,Jikkyou Oshaberi Parodius: Forever With Me,Stone Heads,Konami,"December 20, 1996",Unreleased,Unreleased,
1570,Jikkyou Powerful Pro Yakyuu '95,Konami,Konami,"December 22, 1994",Unreleased,Unreleased,
1571,Jikkyou Powerful Pro Yakyuu '95 Kaimakuban,Diamond Head,Konami,"July 14, 1995",Unreleased,Unreleased,
1572,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,Diamond Head,Konami,"August 28, 1997",Unreleased,Unreleased,
1573,Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,Konami,Konami,"July 23, 1998",Unreleased,Unreleased,
1574,Jikkyou Powerful Pro Yakyuu '98 Ketteiban,Konami,Konami,"December 23, 1998",Unreleased,Unreleased,
1575,Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,Konami,Konami,"July 22, 1999",Unreleased,Unreleased,
1576,Jikkyou Powerful Pro Yakyuu '99 Ketteiban,Konami,Konami,"December 25, 1999",Unreleased,Unreleased,
1577,Jikkyou Powerful Pro Yakyuu 2000 Kaimakuban,Diamond Head,Konami,"July 19, 2000",Unreleased,Unreleased,
1578,Jikkyou Powerful Pro Yakyuu 2000 Ketteiban,Konami,Konami,"December 21, 2000",Unreleased,Unreleased,
1579,Jikkyou Powerful Pro Yakyuu 2001,Diamond Head,Konami,"June 7, 2001",Unreleased,Unreleased,
1580,Jikkyou Powerful Pro Yakyuu 2001 Ketteiban,Diamond Head,Konami,"December 20, 2001",Unreleased,Unreleased,
1581,Jikkyou Powerful Pro Yakyuu 2002 Haru,Diamond Head,Konami,"March 14, 2002",Unreleased,Unreleased,
1582,Jikkyou Powerful Pro Yakyuu Premium-Ban,Konami,Konami,"January 23, 2003",Unreleased,Unreleased,
1583,Jikuu Tantei DD: Maboroshi no Lorelei,System Sacom,ASCII Entertainment,"July 26, 1996",Unreleased,Unreleased,
1584,Jikuu Tantei DD 2: Hangyaku no Apsalar,System Sacom,ASCII Entertainment,"August 27, 1998",Unreleased,Unreleased,
1585,Jimmy Johnson VR Football '98,Padded Cell Studios,Interplay,Unreleased,Unreleased,September 1997,
1586,Jimmy White's 2: Cueball,Awesome Developments,Virgin Interactive,Unreleased,"April 7, 2000","November 15, 2000",
1587,Jingle Cats: Love Para Daisakusen no Maki,Sony Music Entertainment Japan,Sony Music Entertainment Japan,"July 16, 1998",Unreleased,Unreleased,
1588,Jinx,"HammerHead, Ltd.",SCEE,Unreleased,"January 31, 2003",Unreleased,
1589,Jissen Pachi-Slot Hisshouhou! 5,Sammy Studios,Sammy Studios,"November 27, 1997",Unreleased,Unreleased,
1590,Jissen Pachi-Slot Hisshouhou! Disc Up,Sammy Studios,Sammy Studios,"November 27, 1997",Unreleased,Unreleased,
1591,Jissen Pachi-Slot Hisshouhou! Sammy Revolution,Sammy Studios,Sammy Studios,"June 25, 1998",Unreleased,Unreleased,
1592,Jissen Pachi-Slot Hisshouhou! Sammy Revolution 2,Sammy Studios,Sammy Studios,"April 8, 1999",Unreleased,Unreleased,
1593,Jissen Pachi-Slot Hisshouhou! Single: Epsilon R,Sammy Studios,Sammy Studios,"October 28, 1999",Unreleased,Unreleased,
1594,Jissen Pachi-Slot Hisshouhou! Single: Kamen Rider & Gallop,Sammy Studios,MaxBet,"October 28, 1999",Unreleased,Unreleased,
1595,Jissen Pachi-Slot Hisshouhou! Single: Kamen Rider V3,Sammy Studios,MaxBet,"October 28, 1999",Unreleased,Unreleased,
1596,Jissen Pachi-Slot Hisshouhou! Single: Kung-Fu Lady,Sammy Studios,MaxBet,"February 3, 2000",Unreleased,Unreleased,
1597,Jissen Pachi-Slot Hisshouhou! Single: Sea Master X,Sammy Studios,MaxBet,"November 11, 1999",Unreleased,Unreleased,
1598,Jissen Pachi-Slot Hisshouhou! Single: Super Star Dust 2,Sammy Studios,MaxBet,"February 17, 2000",Unreleased,Unreleased,
1599,Jissen Pachi-Slot Hisshouhou! Single: The Kingdom,Sammy Studios,MaxBet,"February 3, 2000",Unreleased,Unreleased,
1600,Jitsumei Jikkyou Keiba Dream Classic,Dream Japan,Bandai,"May 18, 2000",Unreleased,Unreleased,
1601,JoJo's Bizarre Adventure,Capcom,Capcom,"October 14, 1999",2000,"March 31, 2000",
1602,Johnny Bazookatone,U.S. Gold Ltd.,U.S. Gold Ltd.,"April 26, 1996",January 1996,"February 15, 1996",
1603,Jockey Zero,Right Stuff,Right Stuff,"November 1, 1996",Unreleased,Unreleased,
1604,Jonah Lomu Rugby,Codemasters,Rage Software,Unreleased,"March 31, 1997",Unreleased,
1605,Joryuu Janshi ni Chousen,Culture Brain,Culture Brain,"February 11, 1999",Unreleased,Unreleased,
1606,Jounetsu * Nekketsu Athletes: Nakimushi Coach no Nikki,Right Stuff,Right Stuff,"October 9, 1997",Unreleased,Unreleased,
1607,Judge Dredd,Gremlin Interactive,Activision,Unreleased,November 1997,"March 31, 1998",
1608,Juggernaut,Jaleco Entertainment,Will,"November 19, 1998",Unreleased,"September 30, 1999",
1609,Jumping Flash!,Exact,Sony Computer Entertainment,"April 28, 1995","September 29, 1995","November 1, 1995",
1610,Jumping Flash! 2,Exact,NA Sony Computer Entertainment,"April 26, 1996","October 1, 1996","August 21, 1996",
1611,JumpStart Wildlife Safari Field Trip,Dice,Knowledge Adventure Inc.,Unreleased,Unreleased,"October 19, 2001",
1612,Junclassic C.C. & Rope Club,T&E Soft,T&E Soft,"April 23, 1998",Unreleased,Unreleased,
1613,Jungle Park,Saru Brunei,Bandai Visual,"February 26, 1998",Unreleased,Unreleased,
1614,The Jungle Book Groove PartyEU•Walt Disney's The Jungle Book: Rhythm N'GrooveNA,Ubisoft,Ubisoft,Unreleased,"November 17, 2000","December 8, 2000",
1615,Junjou de Karen Meimai Kishi-dan: Spectral Force Seishoujo Gaiden,Idea Factory,Idea Factory,"November 25, 1999",Unreleased,Unreleased,
1616,Junk Brain Diagnosis,Exit,Oracion,"March 25, 1999",Unreleased,Unreleased,
1617,Jupiter Strike,Taito Corporation,"PALNA Acclaim Entertainment, JP Taito Corporation","August 25, 1995",December 1995,"December 6, 1995",
1618,K-1 The Arena Fighters•Fighting IllusionJP,Daft,THQ,"August 9, 1996",May 1997,"February 28, 1997",[70]
1619,K-1 Grand Prix,Daft,Jaleco Entertainment,Unreleased,Unreleased,"January 25, 2000",
1620,K-1 Oujya ni Narou!,Daft,Xing Entertainment,"March 30, 2000",Unreleased,Unreleased,
1621,K-1 Revenge,Daft,Jaleco Entertainment,"September 11, 1997",Unreleased,"February 28, 1999",
1622,K-1 World Grand Prix 2001 Kaimakuden,Daft,Konami,"March 29, 2001",Unreleased,Unreleased,
1623,K9.5: Live in Airedale,Lightspan,Lightspan,Unreleased,Unreleased,1997,
1624,K9.5: The Hollywood Premiere,Lightspan,Lightspan,Unreleased,Unreleased,1997,
1625,K9.5: The Tail-Wag Tour,Lightspan,Lightspan,Unreleased,Unreleased,1997,
1626,K9.5: We are the Dogs,Lightspan,Lightspan,Unreleased,Unreleased,1997,
1627,K9.5: WebTunes,Lightspan,Lightspan,Unreleased,Unreleased,1997,
1628,Kaeru no Ehon: Adventure for the Lost Memories,Infinity,Victor Interactive Software,"October 21, 1999",Unreleased,Unreleased,
1629,Kaettekita Cyborg Kuro-Chan,Konami,Konami,"November 28, 2002",Unreleased,Unreleased,
1630,Kaettekita Pachiokun Dream Collection,Coconuts Japan,Coconuts Japan,"July 2, 1998",Unreleased,Unreleased,
1631,Kagaku Ninja-Tai Gatchaman: The Shooting,Warashi,Bandai,"June 27, 2002",Unreleased,Unreleased,
1632,Kagayaku Kisetsu e,Kid,Kid,"April 1, 1999",Unreleased,Unreleased,
1633,Kagero: Deception 2,JPNA Tecmo,"JPNA Tecmo, PAL Virgin Interactive","July 23, 1998","September 10, 1999","October 14, 1998",
1634,Kahen Soukou Gunbike: Speed Power Gunbike,Inti Creates,Sony Music Entertainment Incorporated,"April 23, 1998",Unreleased,Unreleased,
1635,Kaibutsu Para-Dice,Make Soft,Make Soft,"July 17, 1997",Unreleased,Unreleased,
1636,Kaijuu Senki,Produce!,Produce!,"November 15, 1996",Unreleased,Unreleased,
1637,Kaikan Phrase: Datenshi Kourin,Produce!,Enix,"February 24, 2000",Unreleased,Unreleased,
1638,Kaishin! Derby Analyst,Media Entertainment,Media Entertainment,"December 21, 2000",Unreleased,Unreleased,
1639,Kaitohranma Miyabi,Imagineer,Imagineer,"January 21, 1999",Unreleased,Unreleased,
1640,Kaitou Apricot,Kid,Takuyo,"May 22, 2003",Unreleased,Unreleased,
1641,Kakinoki Shogi,ASCII Entertainment,ASCII Entertainment,"December 22, 1994",Unreleased,Unreleased,
1642,Kakinoki Shogi 2,ASCII Entertainment,ASCII Entertainment,"March 26, 1998",Unreleased,Unreleased,
1643,Kakuge-Yaro: Fighting Game Creator,Outback,Increment-P,"February 17, 2000",Unreleased,Unreleased,
1644,Kakugo no Susume,Tomy,Tomy,"March 28, 1997",Unreleased,Unreleased,
1645,Kamen Rider,KAZe,Bandai,"October 1, 1998",Unreleased,Unreleased,
1646,Kamen Rider Agito,Kaze,Bandai,"November 29, 2001",Unreleased,Unreleased,
1647,Kamen Rider: The Bike Race,Highwaystar,Bandai,"October 25, 2001",Unreleased,Unreleased,
1648,Kamen Rider Heroes,Bandai,Bandai,"July 18, 2002",Unreleased,Unreleased,
1649,Kamen Rider Kuuga,Kaze,Bandai,"December 21, 2000",Unreleased,Unreleased,
1650,Kamen Rider Ryuki,Digifloyd,Bandai,"November 28, 2002",Unreleased,Unreleased,
1651,Kamen Rider V3,Kaze,Bandai,"September 14, 2000",Unreleased,Unreleased,
1652,Kaminari Ishiyumi Kihei Guybrave,Avit,Axelia,"July 17, 1997",Unreleased,Unreleased,
1653,Kaminari Ishiyumi Kihei Guybrave II,Avit,Axelia,"October 29, 1998",Unreleased,Unreleased,
1654,Kanazawa Shogi '95,SETA Corporation,SETA Corporation,"April 21, 1995",Unreleased,Unreleased,
1655,Kanazawa Shogi Tsuki,SETA Corporation,SETA Corporation,"May 20, 1999",Unreleased,Unreleased,
1656,Karan Koron Gakuen: Doki Doki Hen,J-Wing,J-Wing,"February 24, 2000",Unreleased,Unreleased,
1657,Karan Koron Gakuen: Munekyun Hen,J-Wing,J-Wing,"March 30, 2000",Unreleased,Unreleased,
1658,Karan Koron Gakuen: Pure Love Hen,J-Wing,J-Wing,"April 20, 2000",Unreleased,Unreleased,
1659,Kart Challenge,Interactive entertainment,Midas Interactive,Unreleased,2000,Unreleased,
1660,Kartia: The Word of Fate •RebusJP•Legend of KartiaPAL,"Atlus, KonamiPAL","Atlus, KonamiPAL","March 26, 1998","December 25, 1999","August 7, 1998",
1661,Karyuu Jyou,Gust,Gust,"September 25, 1997",Unreleased,Unreleased,
1662,Kasei Monogatari,Vistec,ASCII Entertainment,"October 22, 1998",Unreleased,Unreleased,
1663,Katon-Kun,Irem,Irem,"September 21, 2000",Unreleased,Unreleased,
1664,Katou Hifumi Kudan: Shogi Club,Hect,Hect,"November 27, 1997",Unreleased,Unreleased,
1665,Kattobi Tune,Genki,Genki,"April 23, 1998",Unreleased,Unreleased,
1666,Kawa no Nushi Tsuri: Hikyou o Motomete,Victor Interactive Software,Victor Interactive Software,"August 20, 1998",Unreleased,Unreleased,
1667,Kaze no Notam,Artdink,Artdink,"September 11, 1997",Unreleased,Unreleased,
1668,Kaze no Oka Kouen Nite,TechnoSoft,TechnoSoft,"September 2, 1998",Unreleased,Unreleased,
1669,KazMania: Chaos in KazMania,Lightspan,Lightspan,Unreleased,Unreleased,1997,
1670,KazMania: Trail of Gems,Lightspan,Lightspan,Unreleased,Unreleased,1997,
1671,Keeper,"Fupac, Success Corp.",Success Corp.,"October 24, 2002",Unreleased,Unreleased,
1672,Keiba Eight '98,Shangri-La,Shangri-La,"April 29, 1998",Unreleased,Unreleased,
1673,Keiba Eight '98 Akifuyu,Shangri-La,Shangri-La,"October 22, 1998",Unreleased,Unreleased,
1674,Keiba Eight '99 Haru Natsu,Shangri-La,Shangri-La,"April 1, 1999",Unreleased,Unreleased,
1675,Keiba Saisho no Housoku '95,Copya Systems,Copya Systems,"June 23, 1995",Unreleased,Unreleased,
1676,Keiba Saisho no Housoku '96 Vol. 1,Copya Systems,Copya Systems,"January 13, 1996",Unreleased,Unreleased,
1677,Keiba Saisho no Housoku '96 Vol. 2: G-1 Road,Shangri-La,Shangri-La,"November 1, 1996",Unreleased,Unreleased,
1678,Keiba Saisho no Housoku '97 Vol. 1: Nerae! Banbaken!,Shangri-La,Shangri-La,"April 11, 1997",Unreleased,Unreleased,
